"PROJECT","#TRAIN_RELEASES","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","CLASSIFIER","KAPPA","PRECISION","RECALL","AUC","TP","FP","TN","FN"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Random Forest","0.17432420884723837","0.7272727272727273","0.20689655172413793","0.6960324662230288","24.0","9.0","162.0","92.0"
"zookeeper","17","None","None","None","Naive Bayes","0.23250999223624805","0.9259259259259259","0.21551724137931033","0.6874369832627546","25.0","2.0","169.0","91.0"
"zookeeper","17","None","None","None","IBK","0.11955473748794823","0.8235294117647058","0.1206896551724138","0.7179874974793305","14.0","3.0","168.0","102.0"
"zookeeper","17","None","None","None","Random Forest","0.12371557747636658","0.9285714285714286","0.11206896551724138","0.620714861867312","13.0","1.0","170.0","103.0"
"zookeeper","17","Best_First_Bidirectional","None","None","Naive Bayes","0.24434777631503632","0.9","0.23275862068965517","0.6741278483565235","27.0","3.0","168.0","89.0"
"zookeeper","17","Best_First_Bidirectional","None","None","IBK","0.113858911400594","0.9230769230769231","0.10344827586206896","0.7183151845130067","12.0","1.0","170.0","104.0"
"zookeeper","17","Best_First_Bidirectional","None","None","Random Forest","0.054042818540843814","0.8571428571428571","0.05172413793103448","0.6056160516233111","6.0","1.0","170.0","110.0"
"zookeeper","17","Best_First_Bidirectional","Under_Sampling","None","Naive Bayes","0.2746968793480421","0.8857142857142857","0.2672413793103448","0.6845886267392619","31.0","4.0","167.0","85.0"
"zookeeper","17","Best_First_Bidirectional","Under_Sampling","None","IBK","0.15112905978044472","0.6764705882352942","0.19827586206896552","0.6451905626134301","23.0","11.0","160.0","93.0"
"zookeeper","17","Best_First_Bidirectional","Under_Sampling","None","Random Forest","0.16484080794248543","0.71875","0.19827586206896552","0.6783625730994152","23.0","9.0","162.0","93.0"
"zookeeper","17","Best_First_Bidirectional","Over_Sampling","None","Naive Bayes","0.26769108641415296","0.8611111111111112","0.2672413793103448","0.6721869328493648","31.0","5.0","166.0","85.0"
"zookeeper","17","Best_First_Bidirectional","Over_Sampling","None","IBK","0.09874389392882059","0.7","0.1206896551724138","0.7054345634200444","14.0","6.0","165.0","102.0"
"zookeeper","17","Best_First_Bidirectional","Over_Sampling","None","Random Forest","0.03634542884071635","0.5833333333333334","0.0603448275862069","0.6009780197620488","7.0","5.0","166.0","109.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Naive Bayes","0.2746968793480421","0.8857142857142857","0.2672413793103448","0.6219247832224238","31.0","4.0","167.0","85.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","IBK","0.08601396558272723","0.7058823529411765","0.10344827586206896","0.5371042548900988","12.0","5.0","166.0","104.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_4","Random Forest","0.12105628105859258","0.7083333333333334","0.14655172413793102","0.5528080258116556","17.0","7.0","164.0","99.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Naive Bayes","0.2654001478869234","0.8823529411764706","0.25862068965517243","0.6176144383948377","30.0","4.0","167.0","86.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","IBK","0.08601396558272723","0.7058823529411765","0.10344827586206896","0.5371042548900988","12.0","5.0","166.0","104.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Classifier_FN_Cost_3","Random Forest","0.12517780938833573","0.7619047619047619","0.13793103448275862","0.5543456342004437","16.0","5.0","166.0","100.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Naive Bayes","0.30672434132913884","0.8571428571428571","0.3103448275862069","0.6741278483565235","36.0","6.0","165.0","80.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","IBK","0.0722252963275765","0.631578947368421","0.10344827586206896","0.7183151845130067","12.0","7.0","164.0","104.0"
"zookeeper","17","Best_First_Bidirectional","None","Sensitive_Learning_FN_Cost_18.7","Random Forest","0.17432420884723837","0.7272727272727273","0.20689655172413793","0.6960324662230288","24.0","9.0","162.0","92.0"
"zookeeper","17","None","None","None","Naive Bayes","0.23250999223624805","0.9259259259259259","0.21551724137931033","0.6874369832627546","25.0","2.0","169.0","91.0"
"zookeeper","17","None","None","None","IBK","0.11955473748794823","0.8235294117647058","0.1206896551724138","0.7179874974793305","14.0","3.0","168.0","102.0"
"zookeeper","17","None","None","None","Random Forest","0.12371557747636658","0.9285714285714286","0.11206896551724138","0.620714861867312","13.0","1.0","170.0","103.0"
